reg|name|promoter|district|project_type|started|units
RP/19/2026/01470|BIBHUTI SAP "THE URBANITE"|EARTH CRAFT LIMITED|Khordha|Residential|Apr, 2026|123
RP/07/2026/01469|MAHADEV HEIGHTS ANNEX|MAHADEV GRIHA NIRMAN PVT LTD|Cuttack|Residential|Apr, 2026|268
RP/19/2026/01468|FALCON TATVA|Falcon Real Estate Private Limited|Khordha|Residential|Apr, 2026|346
RP/11/2026/01466|SKY RESIDENCY|M/s. Sidhivinayak Infrastructure & Developers Pvt. Ltd.|Ganjam|Residential|Apr, 2026|20
RP/28/2026/01465|HIRALAYA|JAISWAL DEVELOPERS AND HOSPITALITY PRIVATE LIMITED|Sambalpur|Residential|Apr, 2026|96
RP/11/2026/01464|BASANTA AWAS|SKP BUILDCON PVT.LTD|Ganjam|Residential|Apr, 2026|32
RP/19/2026/01463|AMRAPALLI|VUMEE INFRA LLP|Khordha|Residential|Apr, 2026|256
RP/19/2026/01460|AHALYA AVENUE|Ahalya Constructions Private Limited|Khordha|Residential|Apr, 2026|69
RP/26/2026/01456|SHREEHARI MALINI|SHREEHARI CONSTRUCTIONS|Puri|Residential|Apr, 2026|89
RP/19/2026/01455|NEOVILLE GREENS|AKANKHYA DEVELOPERS PRIVATE LIMITED|Khordha|Residential|Apr, 2026|79
RP/26/2026/01454|SHREEHARI CITY PHASE-III|SHREEHARI CONSTRUCTIONS|Puri|Residential|Apr, 2026|16
RP/19/2026/01453|PRISTINE BLISS|CSS SJ HOMES|Khordha|Residential|Apr, 2026|9
RP/26/2026/01451|SRI SRI RESIDENCY|Samir Tanayas Infrastructure|Puri|Residential|Mar, 2026|40
RP/19/2026/01450|IMARAT EAST VIEW|IMARAT REAL ESTATE DEVELOPERS PRIVATE LIMITED|Khordha|Residential|Mar, 2026|26
RP/01/2026/01449|S.G TOWER|M/S. NEELACHAL INFRA DEVELOPERS PVT. LTD|Angul|Residential|Mar, 2026|90
RP/11/2026/01448|PRAFULLO BISHNU UAAS|SUSANT KUMAR RAUT|Ganjam|Residential|Mar, 2026|20
RP/26/2026/01447|ANANYA SRIKSHETRA PHASE-1|Prabhukrupa Realties Private Limited|Puri|Residential|Mar, 2026|150
RP/11/2026/01446|PINNACLE-SM-PRIME|PINNACLE PROPERTIES|Ganjam|Residential|Mar, 2026|25
RP/30/2026/01445|ANGRAPAAT VALLEY HOMES|ANGRAPAAT VALLEY HOMES|Sundargarh|Residential|Mar, 2026|50
RP/19/2026/01444|S S VATIKA|SSHARP NIRMAN PRIVATE LIMITED|Khordha|Residential|Mar, 2026|24
RP/04/2026/01442|ORCHARD HEIGHTS|ORCHARD DEVELOPER|Bargarh|Residential|Mar, 2026|45
RP/19/2026/01441|Jagannath Sai Prateek|Shree Jaganath Projects and Developers|Khordha|Residential|Mar, 2026|39
RP/26/2026/01440|URBAN SIGNATURE|URBAN NEST HOUSINGS PRIVATE LIMITED|Puri|Residential|Mar, 2026|25
RP/19/2026/01439|Swarna Salila Avenue|RABI NARAYAN SAMANTARAY|Khordha|Residential|Mar, 2026|16
